139,90,183,148
139,92,183,147
139,93,185,146
138,87,183,147
137,90,179,144
136,87,179,141
137,82,178,138
132,84,180,141
130,82,178,143
128,85,176,144
127,85,177,147
123,85,174,148
118,85,169,146
116,86,167,145
118,84,166,141
121,88,167,143
122,89,169,148
124,92,172,150
128,95,176,153
130,91,181,153
134,91,186,152
136,85,190,152
136,82,193,148
136,81,194,146
135,80,193,149
134,84,193,149
133,85,195,153
135,85,198,156
133,83,199,161
132,81,202,163
130,77,204,163
127,74,208,165
124,67,211,162
124,64,213,162
127,63,218,167
128,70,225,177
131,66,231,180
134,70,237,188
136,75,242,193
136,80,244,204
132,84,240,210
122,85,235,212
123,79,230,205
127,79,226,194
130,77,223,186
133,79,219,182
133,89,211,182
131,93,206,181
131,101,201,182
134,102,197,183
133,105,198,183
132,108,197,182
134,107,196,181
136,107,197,180
137,107,198,178
141,104,200,173
146,102,199,166
150,97,198,157
150,98,201,153
156,93,209,155
161,91,220,158
168,90,232,160
176,87,244,165
173,93,248,169
169,89,245,169
160,89,240,169
154,84,234,168
147,82,231,167
148,83,233,168
149,79,240,170
148,74,246,170
149,67,254,168
148,63,265,171
155,55,275,172
152,50,283,173
157,51,289,179
161,49,294,185
160,52,297,193
156,53,295,199
151,61,285,200
146,65,270,197
138,69,254,192
131,74,234,190
124,79,220,187
123,86,209,184
122,83,201,180
120,87,194,175
120,87,189,171
119,89,183,166
115,89,178,163
107,83,174,164
101,81,168,163
94,78,165,160
92,78,166,163
86,78,165,163
75,81,157,170
68,84,151,172
59,84,147,174
55,86,140,180
51,89,139,183
47,87,140,189
43,83,144,192
39,82,149,196
39,74,153,200
36,70,162,201
41,64,173,204
47,63,184,209
55,59,192,214
58,57,198,222
61,57,205,227
68,61,207,230
75,67,207,229
86,73,209,226
89,74,209,222
94,78,207,216
95,78,205,209
101,78,203,203
102,76,200,193
103,71,200,185
106,66,197,176
111,64,198,168
112,60,198,164
111,56,197,158
107,51,193,153
101,46,188,149
96,45,181,146
92,45,176,145
89,46,174,144
86,47,170,145
84,43,169,147
80,44,169,149
78,41,168,153
72,42,169,156
74,41,170,158
76,43,174,161
77,43,178,164
75,44,175,173
75,49,177,179
76,48,180,181
90,52,184,181
95,54,189,176
102,67,190,172
114,69,199,171
121,68,205,170
125,70,208,170
124,72,206,167
123,75,207,169
126,77,207,171
126,84,209,174
124,86,210,180
126,90,215,186
124,79,218,188
130,82,227,193
130,81,233,198
131,83,236,201
134,77,241,201
130,75,241,200
124,72,237,199
121,71,233,196
117,71,229,199
108,77,224,203
108,77,221,205
106,84,220,210
104,86,220,214
104,87,219,213
109,86,223,212
107,81,226,207
106,76,223,205
107,74,219,199
102,74,217,196
94,73,213,199
90,67,217,200
85,60,217,203
80,56,218,204
76,54,221,210
73,58,224,214
71,59,227,223
81,59,235,222
84,56,244,229
92,56,250,227
96,61,252,226
100,63,249,222
107,71,242,216
113,77,240,213
120,77,237,207
127,81,236,203
136,88,241,202
147,91,244,199
154,89,245,194
153,104,238,183
148,76,228,172
139,73,219,163
131,71,211,162
129,70,210,157
124,65,204,156
117,68,201,157
115,67,196,158
114,64,200,160
111,62,202,162
109,61,202,164
