150,53,189,200
149,52,188,199
146,53,187,200
144,49,186,198
140,54,185,200
136,52,181,196
134,55,180,201
133,60,178,206
133,63,178,203
129,61,173,204
127,61,174,205
127,67,172,206
126,65,169,207
125,64,170,208
127,72,168,205
124,66,166,207
122,65,165,207
120,66,165,208
119,62,165,205
118,57,161,205
118,57,162,202
115,61,163,202
115,61,163,206
116,61,160,205
119,64,162,208
117,64,162,207
116,67,162,210
118,70,160,210
120,71,164,208
121,73,168,212
121,73,168,214
125,73,172,211
123,68,172,211
128,64,173,208
131,56,175,205
130,55,179,209
133,51,183,208
138,48,184,205
138,46,183,204
142,48,186,207
144,49,190,204
145,53,190,206
146,47,191,206
148,50,200,204
150,56,199,200
151,57,207,206
152,58,209,205
155,64,204,205
159,57,215,206
160,59,210,202
164,61,213,204
169,65,213,200
166,66,216,199
169,67,216,198
168,59,217,199
171,62,215,199
169,64,214,198
169,61,218,201
171,59,215,199
171,58,215,202
170,59,216,201
170,60,216,197
170,64,214,197
170,65,216,200
175,64,216,197
172,66,214,201
172,69,215,199
172,63,216,203
173,65,215,201
173,65,214,200
172,62,214,203
170,63,214,204
170,60,214,202
167,57,211,203
165,51,210,201
165,52,207,204
161,49,208,204
159,47,202,201
157,46,199,204
156,51,198,207
154,48,198,206
150,51,192,203
146,48,192,203
150,55,191,197
145,59,189,204
142,61,185,204
141,67,183,201
138,61,181,201
136,67,176,202
136,68,172,203
134,66,173,202
133,67,174,203
133,69,173,208
131,66,173,204
132,66,170,202
129,62,171,202
128,58,169,202
128,59,166,200
126,57,165,200
125,60,166,201
125,54,162,203
123,57,162,200
122,59,161,199
123,64,164,199
125,65,164,203
127,62,165,202
125,62,171,206
127,61,171,204
126,61,173,201
131,57,175,204
131,57,180,205
133,59,182,204
136,58,184,206
138,56,185,201
140,51,189,204
139,51,191,203
140,54,191,202
140,55,191,201
145,61,192,202
144,61,197,203
146,69,192,201
146,72,198,200
149,76,197,195
149,81,199,198
150,83,196,204
152,83,202,202
150,85,204,205
152,88,202,203
153,87,204,208
154,86,203,200
156,82,210,203
158,79,205,202
159,76,206,209
160,74,205,204
161,70,209,201
162,69,203,201
163,64,207,199
162,60,205,197
164,57,206,200
165,56,206,198
167,66,206,215
167,64,210,213
168,65,204,212
167,66,207,209
165,65,206,210
166,63,206,212
164,61,206,210
165,64,207,211
166,63,205,210
166,63,207,214
